City,RegionName,avg,zip,count,City_catagory,population,poverty_count,median_household_income,zipcode,poverty_rate
Greensboro,27407,119839.28571428571,27407,7,133,50288.0,8412.0,48127.0,27407,16.727648743238944
Greensboro,27408,154445.43537414967,27408,7,133,18090.0,1797.0,63965.0,27408,9.933665008291873
Greensboro,27409,142447.00340136053,27409,3,133,17532.0,2237.0,41455.0,27409,12.7595254391969
Greensboro,27410,167749.10204081633,27410,12,133,55519.0,4518.0,65755.0,27410,8.137754642554803
Greensboro,27455,149885.2925170068,27455,6,133,29020.0,1968.0,73263.0,27455,6.781529979324604
Greenville,27834,108743.18378378378,27834,10,134,56458.0,15413.0,36360.0,27834,27.299939778242234
Greenville,27858,141921.32994923857,27858,9,134,59652.0,15047.0,44751.0,27858,25.224636223429226
Grifton,28530,86813.96739130435,28530,1,135,6457.0,1111.0,36357.0,28530,17.206132879045995
Grimesland,27837,141698.20812182743,27837,1,136,6463.0,1118.0,70453.0,27837,17.298468203620608
Grover,28073,102260.15986394558,28073,1,137,5366.0,836.0,39971.0,28073,15.579575102497206
Halifax,27839,55844.955823293174,27839,2,138,3503.0,406.0,31051.0,27839,11.590065658007422
Hamlet,28345,64612.80952380953,28345,5,139,12107.0,3188.0,34918.0,28345,26.331874122408518
Hampstead,28443,241056.5,28443,5,140,22138.0,1933.0,64317.0,28443,8.731592736471226
Hamptonville,27020,125511.4698275862,27020,1,141,5717.0,990.0,39012.0,27020,17.316774532097252
Harkers Island,28531,243556.3401360544,28531,1,142,1361.0,181.0,51111.0,28531,13.299044819985307
Harmony,28634,140449.5129310345,28634,1,143,5230.0,1047.0,46447.0,28634,20.019120458891013
Harrisburg,28075,185205.32993197278,28075,4,144,18621.0,827.0,99075.0,28075,4.441222275925031
Havelock,28532,118365.54081632652,28532,9,145,22205.0,2741.0,50634.0,28532,12.344066651655032
Haw River,27258,170831.77272727274,27258,1,146,7011.0,862.0,47336.0,27258,12.294965054913707
Hays,28635,85304.50522648083,28635,2,147,3162.0,637.0,29599.0,28635,20.14547754585705
Henderson,27536,62514.80612244898,27536,7,148,16421.0,4882.0,29021.0,27536,29.730223494306074
Henderson,27537,95976.74489795919,27537,11,148,24578.0,4936.0,42363.0,27537,20.08300105785662
Hendersonville,28739,240794.04591836734,28739,1,149,21474.0,2160.0,53965.0,28739,10.05867560771165
Hendersonville,28791,219384.85204081633,28791,5,149,14954.0,1160.0,53964.0,28791,7.757121840310285
Hendersonville,28792,174779.61965811966,28792,9,149,34945.0,5441.0,45629.0,28792,15.570181714122192
Hertford,27944,243829.96153846153,27944,2,150,11969.0,1862.0,46240.0,27944,15.556855209290669
Hertford,27980,96273.27380952382,27980,1,150,1758.0,67.0,47946.0,27980,3.811149032992037
Hickory,28601,134167.13605442178,28601,12,151,51706.0,6977.0,50821.0,28601,13.493598421846595
Hickory,28602,125490.57823129251,28602,5,151,29105.0,4340.0,47493.0,28602,14.911527228998455
Hiddenite,28636,116153.44690265486,28636,2,152,5013.0,922.0,43810.0,28636,18.39218033113904
High Point,27235,176973.09863945577,27235,1,153,4557.0,147.0,89214.0,27235,3.2258064516129035
High Point,27260,72571.80612244898,27260,6,153,25761.0,8719.0,27361.0,27260,33.84573580218159
High Point,27262,105458.74489795919,27262,9,153,24379.0,5009.0,39276.0,27262,20.546371877435497
High Point,27265,134711.01700680272,27265,9,153,50139.0,4609.0,60518.0,27265,9.192445002891963
High Point,27282,152489.62925170068,27282,7,153,17835.0,1576.0,68967.0,27282,8.836557331090553
Hillsborough,27278,193619.9715302491,27278,12,154,26054.0,2705.0,71657.0,27278,10.382282950794504
Holden Beach,28462,249273.67307692306,28462,2,155,12659.0,1842.0,41243.0,28462,14.550912394343946
Hollister,27844,55438.87890625,27844,2,156,2955.0,866.0,28170.0,27844,29.30626057529611
Holly Springs,27540,193293.52083333334,27540,7,157,37520.0,1668.0,102268.0,27540,4.445628997867804
Hope Mills,28348,113297.0,28348,10,158,35673.0,4681.0,53090.0,28348,13.121968996159561
Hot Springs,28743,157852.043715847,28743,1,159,1987.0,580.0,38018.0,28743,29.1897332662305
Hubert,28539,143764.85863874346,28539,1,160,15623.0,2282.0,52782.0,28539,14.606669653715675
Hudson,28638,111694.37818181819,28638,6,161,11698.0,2024.0,41701.0,28638,17.30210292357668
Huntersville,28078,189825.43537414967,28078,12,162,60107.0,2987.0,95874.0,28078,4.9694711098540925
Hurdle Mills,27541,169690.4319727891,27541,1,163,3718.0,548.0,64038.0,27541,14.739107046799354
Indian Trail,28079,168874.84814814816,28079,7,164,36737.0,2317.0,78407.0,28079,6.306992949887034
Iron Station,28080,142663.03401360544,28080,2,165,7941.0,1505.0,53811.0,28080,18.95227301347437
Ivanhoe,28478,90672.06060606061,28478,1,166,5114.0,728.0,39906.0,28478,14.235432147047325
Jackson,27845,62222.82666666667,27845,1,167,2876.0,598.0,33750.0,27845,20.79276773296245
Jacksonville,28540,124658.63274336283,28540,13,168,48775.0,7251.0,49970.0,28540,14.86622245002563
Jacksonville,28546,126480.05286343613,28546,10,168,46338.0,5525.0,46758.0,28546,11.923259527817345
Jarvisburg,27947,166836.0390625,27947,1,169,1431.0,60.0,50417.0,27947,4.19287211740042
Jonesville,28642,85592.49454545455,28642,1,170,5890.0,1305.0,38750.0,28642,22.15619694397284
Kannapolis,28081,128270.60204081633,28081,5,171,27557.0,5044.0,49743.0,28081,18.303879232137025
Kannapolis,28083,116159.0612244898,28083,5,171,25540.0,3610.0,48103.0,28083,14.13469068128426
Kenly,27542,110701.79411764706,27542,2,172,9953.0,1896.0,46332.0,27542,19.049532804179645
Kernersville,27284,144757.9455782313,27284,14,173,54413.0,6184.0,61071.0,27284,11.3649311745355
Kill Devil Hills,27948,247084.41580756014,27948,3,174,11118.0,1110.0,57445.0,27948,9.983810037776578
King,27021,120414.08163265306,27021,6,175,17539.0,2407.0,50123.0,27021,13.723701465305892
Kings Mountain,28086,110162.41156462584,28086,7,176,25037.0,4397.0,42571.0,28086,17.562008227822822
Kinston,28501,53448.766355140186,28501,6,177,18334.0,5857.0,30053.0,28501,31.94611105050725
Kinston,28504,97929.97663551402,28504,6,177,21852.0,3816.0,47856.0,28504,17.462932454695224
Kittrell,27544,129695.6043956044,27544,1,178,5027.0,890.0,56382.0,27544,17.70439626019495
Kitty Hawk,27949,313526.23024054983,27949,1,179,7532.0,331.0,78191.0,27949,4.394583112055232
Knightdale,27545,147609.87414965985,27545,5,180,27186.0,1815.0,63683.0,27545,6.676230412712425
Knotts Island,27950,179451.95918367346,27950,1,181,2073.0,252.0,58821.0,27950,12.156295224312592
La Grange,28551,99167.94897959183,28551,3,182,15104.0,2366.0,37293.0,28551,15.664724576271185
Lake Lure,28746,249824.54761904763,28746,1,183,2371.0,140.0,60400.0,28746,5.904681568958246
Lake Lure,28756,154966.2159090909,28756,3,183,4715.0,264.0,49452.0,28756,5.59915164369035
Lake Toxaway,28747,320220.08196721313,28747,1,184,2243.0,397.0,36653.0,28747,17.699509585376727
Landis,28088,151434.97647058824,28088,2,185,2746.0,373.0,53949.0,28088,13.583394027676619
Laurel Hill,28351,61692.61224489796,28351,2,186,4698.0,873.0,36949.0,28351,18.5823754789272
Laurinburg,28352,72633.74489795919,28352,10,187,25760.0,6870.0,33657.0,28352,26.66925465838509
Lawsonville,27022,119753.416,27022,2,188,1099.0,50.0,41078.0,27022,4.549590536851684
Leicester,28748,203592.92537313432,28748,1,189,12613.0,1974.0,46075.0,28748,15.650519305478475
Leland,28451,187134.22596153847,28451,5,190,33435.0,4738.0,55357.0,28451,14.170779123672798
Lenoir,28645,102876.54044117648,28645,13,191,46604.0,8246.0,38697.0,28645,17.69376019225818
Lewisville,27023,165426.2993197279,27023,1,192,13088.0,911.0,75208.0,27023,6.96057457212714
Lexington,27292,111749.43197278911,27292,16,193,39649.0,7520.0,41315.0,27292,18.966430426996894
Lexington,27295,129700.15986394558,27295,11,193,38511.0,5256.0,49195.0,27295,13.648048609488196
Liberty,27298,139834.37074829932,27298,3,194,10052.0,1586.0,45095.0,27298,15.777954635893355
Lillington,27546,149110.1505376344,27546,5,195,21313.0,3777.0,48737.0,27546,17.72157837939286
Lincolnton,28092,123121.45238095238,28092,15,196,39710.0,7532.0,47971.0,28092,18.96751447997985
Linden,28356,136058.2619047619,28356,1,197,4890.0,392.0,67609.0,28356,8.016359918200411
