City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate
211,28753,219440.5503875969,28753,4,9937.0,1411.0,40883.0,28753,14.19945657643152
212,28103,217578.81851851853,28103,4,11397.0,1096.0,55116.0,28103,9.616565762920066
213,28105,243797.02380952382,28105,9,45786.0,3056.0,75329.0,28105,6.674529332110253
214,28364,71241.92222222222,28364,4,15183.0,4610.0,33462.0,28364,30.36290588157808
215,27027,128608.37412587412,27027,1,4382.0,889.0,32183.0,27027,20.287539936102235
216,28555,145796.5113122172,28555,2,4767.0,1124.0,47527.0,28555,23.578770715334592
217,28101,298325.9012345679,28101,1,826.0,71.0,60294.0,28101,8.595641646489103
218,27302,223146.45578231293,27302,7,31331.0,4022.0,56230.0,27302,12.837126168970027
219,27557,143455.8088235294,27557,1,7558.0,1492.0,43098.0,27557,19.74067213548558
220,28107,239966.97959183675,28107,1,7380.0,616.0,70086.0,28107,8.346883468834687
221,28651,139265.14965986394,28651,2,7419.0,1829.0,35919.0,28651,24.652918183043536
222,28759,349070.88976377953,28759,2,7488.0,547.0,63547.0,28759,7.305021367521367
223,28510,328929.8771929825,28510,1,1503.0,77.0,57381.0,28510,5.123087159015303
224,28227,225441.268707483,28227,8,55769.0,6836.0,57752.0,28227,12.257705893955427
225,27028,218985.7243243243,27028,9,26044.0,4497.0,48167.0,27028,17.2669328828137
226,27559,255741.917562724,27559,1,2225.0,153.0,68264.0,27559,6.876404494382022
227,28110,215883.66666666666,28110,13,53520.0,7503.0,57969.0,28110,14.019058295964124
227,28112,187795.11111111112,28112,10,26999.0,3806.0,52745.0,28112,14.096818400681505
228,28114,108941.94217687075,28114,1,7139.0,1588.0,38944.0,28114,22.244011766353825
229,28115,230969.42592592593,28115,12,37023.0,3765.0,62252.0,28115,10.169354185236203
229,28117,416249.8185185185,28117,7,39278.0,2376.0,85591.0,28117,6.049187840521412
230,28654,117118.80952380953,28654,2,3100.0,261.0,45081.0,28654,8.419354838709678
231,28557,276823.6088435374,28557,6,15204.0,1663.0,54528.0,28557,10.937911076032622
232,28655,179896.73577235773,28655,18,54594.0,9698.0,43435.0,28655,17.763856834084333
233,27560,282234.1700680272,27560,3,32801.0,2020.0,93440.0,27560,6.158348830828329
234,27030,155498.77037037036,27030,11,35843.0,6440.0,36859.0,27030,17.967246045252907
234,27053,141822.97177419355,27053,2,2973.0,345.0,44967.0,27053,11.604439959636732
235,28120,211908.38827838827,28120,5,21119.0,2111.0,56234.0,28120,9.99573843458497
236,28365,123978.23809523809,28365,4,16886.0,5103.0,44209.0,28365,30.22030084093332
