City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate,rooms
Hollister,27844,55438.87891,27844,2,2955,866,28170,27844,29.30626058,3 bedroom
Holly Springs,27540,193293.5208,27540,7,37520,1668,102268,27540,4.445628998,3 bedroom
Hope Mills,28348,113297,28348,10,35673,4681,53090,28348,13.121969,3 bedroom
Hot Springs,28743,157852.0437,28743,1,1987,580,38018,28743,29.18973327,3 bedroom
Hubert,28539,143764.8586,28539,1,15623,2282,52782,28539,14.60666965,3 bedroom
Hudson,28638,111694.3782,28638,6,11698,2024,41701,28638,17.30210292,3 bedroom
Huntersville,28078,189825.4354,28078,12,60107,2987,95874,28078,4.96947111,3 bedroom
Hurdle Mills,27541,169690.432,27541,1,3718,548,64038,27541,14.73910705,3 bedroom
Indian Trail,28079,168874.8481,28079,7,36737,2317,78407,28079,6.30699295,3 bedroom
Iron Station,28080,142663.034,28080,2,7941,1505,53811,28080,18.95227301,3 bedroom
Ivanhoe,28478,90672.06061,28478,1,5114,728,39906,28478,14.23543215,3 bedroom
Jackson,27845,62222.82667,27845,1,2876,598,33750,27845,20.79276773,3 bedroom
Jacksonville,28540,124658.6327,28540,13,48775,7251,49970,28540,14.86622245,3 bedroom
Jacksonville,28546,126480.0529,28546,10,46338,5525,46758,28546,11.92325953,3 bedroom
Jarvisburg,27947,166836.0391,27947,1,1431,60,50417,27947,4.192872117,3 bedroom
Jonesville,28642,85592.49455,28642,1,5890,1305,38750,28642,22.15619694,3 bedroom
Kannapolis,28081,128270.602,28081,5,27557,5044,49743,28081,18.30387923,3 bedroom
Kannapolis,28083,116159.0612,28083,5,25540,3610,48103,28083,14.13469068,3 bedroom
Kenly,27542,110701.7941,27542,2,9953,1896,46332,27542,19.0495328,3 bedroom
Kernersville,27284,144757.9456,27284,14,54413,6184,61071,27284,11.36493117,3 bedroom
Kill Devil Hills,27948,247084.4158,27948,3,11118,1110,57445,27948,9.983810038,3 bedroom
King,27021,120414.0816,27021,6,17539,2407,50123,27021,13.72370147,3 bedroom
Kings Mountain,28086,110162.4116,28086,7,25037,4397,42571,28086,17.56200823,3 bedroom
Kinston,28501,53448.76636,28501,6,18334,5857,30053,28501,31.94611105,3 bedroom
Kinston,28504,97929.97664,28504,6,21852,3816,47856,28504,17.46293245,3 bedroom
Kittrell,27544,129695.6044,27544,1,5027,890,56382,27544,17.70439626,3 bedroom
Kitty Hawk,27949,313526.2302,27949,1,7532,331,78191,27949,4.394583112,3 bedroom
Knightdale,27545,147609.8741,27545,5,27186,1815,63683,27545,6.676230413,3 bedroom
Knotts Island,27950,179451.9592,27950,1,2073,252,58821,27950,12.15629522,3 bedroom
La Grange,28551,99167.94898,28551,3,15104,2366,37293,28551,15.66472458,3 bedroom
Lake Lure,28746,249824.5476,28746,1,2371,140,60400,28746,5.904681569,3 bedroom
Lake Lure,28756,154966.2159,28756,3,4715,264,49452,28756,5.599151644,3 bedroom
Lake Toxaway,28747,320220.082,28747,1,2243,397,36653,28747,17.69950959,3 bedroom
Landis,28088,151434.9765,28088,2,2746,373,53949,28088,13.58339403,3 bedroom
Laurel Hill,28351,61692.61224,28351,2,4698,873,36949,28351,18.58237548,3 bedroom
Laurinburg,28352,72633.7449,28352,10,25760,6870,33657,28352,26.66925466,3 bedroom
Lawsonville,27022,119753.416,27022,2,1099,50,41078,27022,4.549590537,3 bedroom
Leicester,28748,203592.9254,28748,1,12613,1974,46075,28748,15.65051931,3 bedroom
Leland,28451,187134.226,28451,5,33435,4738,55357,28451,14.17077912,3 bedroom
Lenoir,28645,102876.5404,28645,13,46604,8246,38697,28645,17.69376019,3 bedroom
Lewisville,27023,165426.2993,27023,1,13088,911,75208,27023,6.960574572,3 bedroom
Lexington,27292,111749.432,27292,16,39649,7520,41315,27292,18.96643043,3 bedroom
Lexington,27295,129700.1599,27295,11,38511,5256,49195,27295,13.64804861,3 bedroom
Liberty,27298,139834.3707,27298,3,10052,1586,45095,27298,15.77795464,3 bedroom
Lillington,27546,149110.1505,27546,5,21313,3777,48737,27546,17.72157838,3 bedroom
Lincolnton,28092,123121.4524,28092,15,39710,7532,47971,28092,18.96751448,3 bedroom
Linden,28356,136058.2619,28356,1,4890,392,67609,28356,8.016359918,3 bedroom
Littleton,27850,166732.9728,27850,2,7244,987,42176,27850,13.62506902,3 bedroom
Locust,28097,161062.1463,28097,2,6074,628,57782,28097,10.33915048,3 bedroom
Louisburg,27549,138447.9297,27549,8,25645,4465,47667,27549,17.41080133,3 bedroom
Lowell,28098,120262.3333,28098,2,3629,747,51206,28098,20.58418297,3 bedroom
Lowgap,27024,128342.0109,27024,1,3148,557,41161,27024,17.69377382,3 bedroom
Lucama,27851,108774.7541,27851,2,5356,892,48547,27851,16.65421957,3 bedroom
Lumber Bridge,28357,76686.54274,28357,2,2682,738,32060,28357,27.51677852,3 bedroom
Lumberton,28358,87087.31818,28358,13,38760,10467,37858,28358,27.00464396,3 bedroom
Lumberton,28360,100851.0758,28360,3,14931,3443,37608,28360,23.0594066,3 bedroom
Madison,27025,122011.2832,27025,4,11387,1287,47147,27025,11.30236234,3 bedroom
Maiden,28650,127492.3639,28650,4,11106,1458,50092,28650,13.1280389,3 bedroom
Manteo,27954,259761.3093,27954,3,7389,372,52626,27954,5.034510759,3 bedroom
Marion,28752,115808.6667,28752,11,30591,4972,41632,28752,16.25314635,3 bedroom
Mars Hill,28754,196738.8707,28754,2,10138,1781,45428,28754,17.56756757,3 bedroom
Marshall,28753,172722.3209,28753,4,9937,1411,40883,28753,14.19945658,3 bedroom
Marshville,28103,142198.8141,28103,4,11397,1096,55116,28103,9.616565763,3 bedroom
Matthews,28105,172119.8129,28105,9,45786,3056,75329,28105,6.674529332,3 bedroom
Maxton,28364,53049.83984,28364,4,15183,4610,33462,28364,30.36290588,3 bedroom
Mayodan,27027,102813.465,27027,1,4382,889,32183,27027,20.28753994,3 bedroom
Maysville,28555,125627.5023,28555,2,4767,1124,47527,28555,23.57877072,3 bedroom
Mc Adenville,28101,221448.6119,28101,1,826,71,60294,28101,8.595641646,3 bedroom
Mebane,27302,151754.3333,27302,7,31331,4022,56230,27302,12.83712617,3 bedroom
Micro,27555,112502.4354,27555,1,672,193,30833,27555,28.7202381,3 bedroom
Middlesex,27557,104296.9511,27557,1,7558,1492,43098,27557,19.74067214,3 bedroom
Midland,28107,180117.5986,28107,1,7380,616,70086,28107,8.346883469,3 bedroom
Millers Creek,28651,121606.9252,28651,2,7419,1829,35919,28651,24.65291818,3 bedroom
Mills River,28759,219235.7063,28759,2,7488,547,63547,28759,7.305021368,3 bedroom
Minnesott Beach,28510,226101.4649,28510,1,1503,77,57381,28510,5.123087159,3 bedroom
Mint Hill,28227,137415.5408,28227,8,55769,6836,57752,28227,12.25770589,3 bedroom
Misenheimer,28109,91735.11905,28109,1,340,5,-666666666,28109,1.470588235,3 bedroom
Mocksville,27028,143901.5767,27028,9,26044,4497,48167,27028,17.26693288,3 bedroom
Moncure,27559,211565.6523,27559,1,2225,153,68264,27559,6.876404494,3 bedroom
Monroe,28110,153629.2889,28110,13,53520,7503,57969,28110,14.0190583,3 bedroom
Monroe,28112,147043.9071,28112,10,26999,3806,52745,28112,14.0968184,3 bedroom
Mooresboro,28114,75687.46939,28114,1,7139,1588,38944,28114,22.24401177,3 bedroom
Mooresville,28115,161495.5445,28115,12,37023,3765,62252,28115,10.16935419,3 bedroom
Mooresville,28117,243635.2862,28117,7,39278,2376,85591,28117,6.049187841,3 bedroom
Moravian Falls,28654,119212.375,28654,2,3100,261,45081,28654,8.419354839,3 bedroom
Morehead City,28557,194246.3741,28557,6,15204,1663,54528,28557,10.93791108,3 bedroom
Morrisville,27560,207883.2483,27560,3,32801,2020,93440,27560,6.158348831,3 bedroom
Mount Airy,27030,109687.7233,27030,11,35843,6440,36859,27030,17.96724605,3 bedroom
Mount Airy,27053,119913.6766,27053,2,2973,345,44967,27053,11.60443996,3 bedroom
Mount Holly,28120,144768.674,28120,5,21119,2111,56234,28120,9.995738435,3 bedroom
Mount Olive,28365,74175.20408,28365,4,16886,5103,44209,28365,30.22030084,3 bedroom
Mount Pleasant,28124,157223.1939,28124,3,6192,514,59167,28124,8.301033592,3 bedroom
Mount Ulla,28125,186652.8161,28125,2,2262,161,63603,28125,7.117595049,3 bedroom
Moyock,27958,205796.7041,27958,2,10988,745,84575,27958,6.780123771,3 bedroom
Nags Head,27959,295131.268,27959,2,2908,238,58803,27959,8.18431912,3 bedroom
Nashville,27856,140401.1949,27856,3,16488,2308,52729,27856,13.99805919,3 bedroom
Nebo,28761,189477.3039,28761,1,7671,1145,37889,28761,14.92634598,3 bedroom
New Bern,28560,125977.0884,28560,5,27590,5108,46133,28560,18.51395433,3 bedroom
New Bern,28562,158148.2483,28562,8,38598,3744,57592,28562,9.699984455,3 bedroom
Newport,28570,157197.1701,28570,5,21590,2585,51569,28570,11.97313571,3 bedroom
Newton,28658,118865.0986,28658,9,27479,3471,46977,28658,12.63146403,3 bedroom
North Wilkesboro,28659,91023.04762,28659,4,21229,5178,33832,28659,24.39116303,3 bedroom
