City,RegionName,avg,zip,count,City_category,population,poverty_count,median_household_income,zipcode,poverty_rate
Brevard,28772,337195.17391304346,28772,3,37,1061.0,51.0,45670.0,28772,4.806786050895382
Broadway,27505,171945.16666666666,27505,1,38,5862.0,898.0,47696.0,27505,15.31900375298533
Browns Summit,27214,213274.69047619047,27214,3,39,10773.0,781.0,67895.0,27214,7.24960549521953
Bunn,27508,157409.35483870967,27508,3,40,1326.0,163.0,42981.0,27508,12.292609351432882
Bunnlevel,28323,176525.79032258064,28323,2,41,3899.0,704.0,52351.0,28323,18.055911772249296
Burgaw,28425,183986.35135135136,28425,6,42,11634.0,2161.0,40211.0,28425,18.574866769812623
Burlington,27215,231789.51020408163,27215,8,43,41204.0,6435.0,47420.0,27215,15.617415784875258
Burlington,27217,144079.35034013606,27217,7,43,37624.0,7957.0,40114.0,27217,21.14873485009568
Butner,27509,146562.25170068027,27509,2,44,6285.0,1325.0,41467.0,27509,21.081941129673826
Buxton,27920,302320.0873015873,27920,2,45,1327.0,542.0,48796.0,27920,40.84400904295404
Camden,27921,264918.5808080808,27921,5,46,4889.0,595.0,63563.0,27921,12.170177950501126
Cameron,28326,212590.97894736842,28326,5,47,23385.0,3280.0,61299.0,28326,14.026085097284586
Candler,28715,304969.04814814817,28715,5,48,26318.0,3319.0,53594.0,28715,12.611140664184209
Canton,28716,180681.02717391305,28716,5,49,17807.0,2681.0,49018.0,28716,15.055876902341776
Carolina Beach,28428,365551.85039370076,28428,1,50,6533.0,603.0,71250.0,28428,9.230062758303994
Carrboro,27510,350472.2719665272,27510,3,51,15528.0,2471.0,53155.0,27510,15.91318907779495
Cary,27511,256227.5,27511,7,52,34525.0,3653.0,74339.0,27511,10.580738595220852
Cary,27513,298367.42176870746,27513,7,52,44821.0,2443.0,92858.0,27513,5.45057004529127
Cary,27518,353947.819112628,27518,1,52,20875.0,918.0,106833.0,27518,4.3976047904191615
Cary,27519,340502.4232081911,27519,11,52,55111.0,1916.0,130337.0,27519,3.4766199125401465
Casar,28020,166786.70325203252,28020,1,53,2082.0,301.0,42700.0,28020,14.457252641690678
Cashiers,28717,1019793.7243243243,28717,3,54,1640.0,240.0,41108.0,28717,14.634146341463413
Castle Hayne,28429,226143.53260869565,28429,3,55,7525.0,707.0,49346.0,28429,9.395348837209305
Catawba,28609,245033.90476190476,28609,3,56,5788.0,467.0,59495.0,28609,8.068417415342086
Chapel Hill,27514,467257.3054393305,27514,5,57,32304.0,3901.0,70849.0,27514,12.075903912828133
Chapel Hill,27516,381197.6487455197,27516,13,57,41551.0,5747.0,85615.0,27516,13.83119539842603
Chapel Hill,27517,436292.97864768683,27517,5,57,24092.0,2085.0,84940.0,27517,8.654325087165864
Charlotte,28202,483820.7789115646,28202,4,58,12745.0,1354.0,90972.0,28202,10.623774029030992
Charlotte,28203,615270.7006802721,28203,2,58,15946.0,2313.0,81094.0,28203,14.505205067101466
Charlotte,28204,513720.0442176871,28204,3,58,6725.0,1148.0,61700.0,28204,17.070631970260223
Charlotte,28205,296312.0680272109,28205,11,58,48539.0,10702.0,49378.0,28205,22.04824986093657
Charlotte,28206,109350.29591836735,28206,6,58,11919.0,3480.0,31617.0,28206,29.197080291970803
Charlotte,28207,891794.6020408163,28207,2,58,9539.0,485.0,129886.0,28207,5.08439039731628
Charlotte,28208,126528.58503401361,28208,11,58,39700.0,9954.0,34925.0,28208,25.073047858942065
Charlotte,28209,461309.7074829932,28209,6,58,22694.0,2830.0,72535.0,28209,12.47025645545078
Charlotte,28210,337754.27210884355,28210,8,58,48304.0,5086.0,68692.0,28210,10.529148724743294
Charlotte,28211,429972.35034013604,28211,8,58,30789.0,3507.0,84366.0,28211,11.390431647666373
Charlotte,28212,145418.76530612246,28212,8,58,45694.0,11593.0,39439.0,28212,25.370945857224147
Charlotte,28213,179050.14965986394,28213,4,58,40724.0,8142.0,43984.0,28213,19.993124447500247
Charlotte,28214,173103.01700680272,28214,8,58,41356.0,5248.0,60837.0,28214,12.68981526259793
Charlotte,28215,170277.19047619047,28215,10,58,62533.0,10998.0,50305.0,28215,17.587513792717445
Charlotte,28216,172122.28911564627,28216,8,58,51116.0,7238.0,48647.0,28216,14.159949917833949
Charlotte,28217,136738.35714285713,28217,3,58,29410.0,6806.0,49230.0,28217,23.141788507310444
Charlotte,28226,343919.8333333333,28226,2,58,39631.0,2604.0,94492.0,28226,6.570613913350661
Charlotte,28262,180577.80952380953,28262,11,58,43046.0,7613.0,53261.0,28262,17.68573154300051
Charlotte,28269,201168.8843537415,28269,10,58,76811.0,5341.0,64803.0,28269,6.953431149184363
Charlotte,28270,313179.93537414965,28270,3,58,35059.0,1273.0,95224.0,28270,3.6310219915000426
Charlotte,28273,189053.5612244898,28273,10,58,39483.0,3705.0,63687.0,28273,9.383785426639315
Charlotte,28277,320594.1394557823,28277,11,58,71605.0,2660.0,105885.0,28277,3.7148243837720822
Charlotte,28278,249090.27891156462,28278,4,58,27286.0,1257.0,90282.0,28278,4.606758044418383
Cherryville,28021,165227.56505576207,28021,4,59,13991.0,1864.0,45606.0,28021,13.322850403831037
China Grove,28023,241765.4,28023,7,60,15623.0,2442.0,54626.0,28023,15.630800742495039
Chocowinity,27817,304810.15646258503,27817,3,61,7773.0,1391.0,50526.0,27817,17.895278528238773
Claremont,28610,184581.10544217686,28610,5,62,10120.0,964.0,55997.0,28610,9.525691699604744
Clayton,27520,220108.3775510204,27520,8,63,40611.0,2700.0,65190.0,27520,6.6484450025855075
Clayton,27527,257701.6936170213,27527,4,63,23160.0,1307.0,87313.0,27527,5.643350604490501
Clemmons,27012,257147.05102040817,27012,4,64,27478.0,1580.0,80045.0,27012,5.750054589125846
Cleveland,27013,201513.51865671642,27013,2,65,6135.0,871.0,51372.0,27013,14.197229013854933
Climax,27233,205841.72448979592,27233,1,66,3643.0,168.0,67278.0,27233,4.611583859456491
Clyde,28721,238188.19565217392,28721,4,67,10152.0,1622.0,46290.0,28721,15.977147360126086
Coats,27521,179808.14054054054,27521,1,68,6111.0,1279.0,44231.0,27521,20.929471444935363
Collettsville,28611,240070.9375,28611,1,69,1162.0,171.0,61810.0,28611,14.716006884681585
Columbia,27925,100355.82517482518,27925,3,70,3991.0,863.0,37674.0,27925,21.623653219744426
Concord,28025,210360.5306122449,28025,14,71,54829.0,8376.0,54774.0,28025,15.27658720749968
Concord,28027,238144.42517006802,28027,17,71,63423.0,4694.0,71067.0,28027,7.40110054712013
Connelly Springs,28612,151745.19696969696,28612,4,72,12338.0,2390.0,37813.0,28612,19.37104879234884
Conover,28613,185435.74829931973,28613,5,73,22233.0,3053.0,54585.0,28613,13.73184005757208
Conway,27820,70688.18791946309,27820,2,74,2211.0,424.0,39839.0,27820,19.17684305744007
Cooleemee,27014,130013.48587570622,27014,1,75,854.0,260.0,37143.0,27014,30.444964871194376
Cornelius,28031,343625.7789115646,28031,5,76,27460.0,2034.0,89823.0,28031,7.407137654770576
Corolla,27927,421638.4090909091,27927,1,77,932.0,89.0,65795.0,27927,9.549356223175966
Cove City,28523,145365.8015873016,28523,1,78,2364.0,299.0,62533.0,28523,12.648054145516074
Cramerton,28032,354734.2148148148,28032,1,79,3296.0,570.0,59071.0,28032,17.29368932038835
Creedmoor,27522,187071.10544217686,27522,7,80,11861.0,1133.0,65589.0,27522,9.55231430739398
Cullowhee,28723,342605.0923913043,28723,1,81,11182.0,2562.0,33180.0,28723,22.9118225719907
Currituck,27929,256894.79591836734,27929,1,82,1711.0,104.0,80185.0,27929,6.078316773816482
Dallas,28034,159083.20146520148,28034,5,83,17327.0,2486.0,46423.0,28034,14.347550066370404
Danbury,27016,157039.515625,27016,1,84,1395.0,145.0,50263.0,27016,10.394265232974911
Davidson,28036,395343.7755102041,28036,2,85,17824.0,700.0,117685.0,28036,3.927289048473968
Deep Run,28525,125190.04864864865,28525,1,86,2919.0,709.0,36373.0,28525,24.289140116478247
Denton,27239,200456.90476190476,27239,3,87,9066.0,1268.0,48091.0,27239,13.986322523714977
Denver,28037,367759.72300469485,28037,6,88,20110.0,1449.0,75516.0,28037,7.2053704624564885
Dobson,27017,174732.45652173914,27017,6,89,9236.0,1461.0,41201.0,27017,15.818536162841056
Dudley,28333,106729.58503401361,28333,3,90,11075.0,4797.0,30172.0,28333,43.313769751693
Dunn,28334,156135.10884353743,28334,7,91,24780.0,6009.0,36751.0,28334,24.24939467312349
Durham,27701,243018.63345195728,27701,8,92,22849.0,6448.0,36606.0,27701,28.220053394021626
Durham,27703,215141.96085409253,27703,13,92,51163.0,7943.0,60438.0,27703,15.52489103453668
Durham,27704,169773.487544484,27704,12,92,39281.0,8620.0,46720.0,27704,21.9444515160001
Durham,27705,322801.5943060498,27705,5,92,49019.0,7336.0,52256.0,27705,14.965625573757114
Durham,27707,289344.29893238435,27707,15,92,51168.0,8112.0,51851.0,27707,15.853658536585364
Durham,27712,243823.14946619218,27712,6,92,21100.0,1024.0,83418.0,27712,4.853080568720379
Durham,27713,254019.5480427046,27713,5,92,54621.0,6305.0,74077.0,27713,11.543179363248568
East Bend,27018,159916.44,27018,5,93,7714.0,850.0,45714.0,27018,11.018926626912107
East Flat Rock,28726,175227.33163265305,28726,3,94,3219.0,272.0,36054.0,28726,8.449829139484311
Eden,27288,135504.98961937716,27288,7,95,23689.0,4768.0,37384.0,27288,20.127485330744232
Efland,27243,291680.4267782427,27243,2,96,4431.0,276.0,66975.0,27243,6.2288422477995935
Elizabeth City,27909,216472.90860215054,27909,12,97,39515.0,5999.0,48277.0,27909,15.181576616474755
Elkin,28621,156633.02545454545,28621,4,98,10499.0,1835.0,47034.0,28621,17.477855033812745
Ellenboro,28040,122258.7925170068,28040,1,99,7738.0,1283.0,38957.0,28040,16.580511760144738
Ellerbe,28338,124774.47474747474,28338,2,100,4663.0,530.0,45260.0,28338,11.366073343341196
Elm City,27822,189924.158974359,27822,4,101,8459.0,1215.0,47181.0,27822,14.363399929069633
Elon,27244,236222.9149659864,27244,4,102,15535.0,2031.0,57511.0,27244,13.073704538139687
Enfield,27823,70285.49659863945,27823,3,103,7890.0,2148.0,31951.0,27823,27.224334600760454
Erwin,28339,120001.76086956522,28339,3,104,7357.0,1380.0,40464.0,28339,18.7576457795297
Etowah,28729,268300.92346938775,28729,1,105,3271.0,120.0,52702.0,28729,3.6686028737389176
Fairmont,28340,87622.5,28340,5,106,9657.0,2775.0,30026.0,28340,28.73563218390805
Fairview,28730,391060.8134328358,28730,1,107,9248.0,649.0,62995.0,28730,7.017733564013841
Farmville,27828,144589.58288770053,27828,4,109,9489.0,2519.0,37305.0,27828,26.546527558225318
Fayetteville,28301,113731.80952380953,28301,15,110,17600.0,6167.0,26261.0,28301,35.03977272727273
Fayetteville,28303,179251.16326530612,28303,9,110,29414.0,5981.0,39896.0,28303,20.333854627048346
Fayetteville,28304,166848.7857142857,28304,15,110,36404.0,6624.0,48358.0,28304,18.195802659048454
Fayetteville,28305,274623.2448979592,28305,4,110,5705.0,811.0,50020.0,28305,14.215600350569675
Fayetteville,28306,207066.94217687074,28306,11,110,41944.0,7119.0,51597.0,28306,16.972630173564752
Fayetteville,28311,195622.9319727891,28311,6,110,35641.0,5681.0,47534.0,28311,15.939507870149546
Fayetteville,28312,210699.8843537415,28312,4,110,19196.0,3435.0,44683.0,28312,17.894352990206293
Fayetteville,28314,155511.268707483,28314,6,110,58110.0,9818.0,47873.0,28314,16.89554293581139
Ferguson,28624,137279.4356846473,28624,1,111,1339.0,300.0,32432.0,28624,22.404779686333082
Flat Rock,28731,471416.5816326531,28731,2,112,8354.0,792.0,55611.0,28731,9.480488388795788
Fletcher,28732,291163.7180451128,28732,2,113,17479.0,1305.0,59993.0,28732,7.466102179758567
Forest City,28043,132558.08843537414,28043,7,114,21075.0,5102.0,35484.0,28043,24.208778173190986
Four Oaks,27524,175096.38970588235,27524,3,115,13916.0,2157.0,48052.0,27524,15.500143719459613
Franklinton,27525,200032.96598639456,27525,5,116,14323.0,2295.0,51570.0,27525,16.02317950150108
Franklinville,27248,124749.67719298246,27248,2,117,4249.0,396.0,44832.0,27248,9.319839962344082
Fremont,27830,138273.08843537414,27830,2,118,4841.0,834.0,44366.0,27830,17.227845486469732
Fuquay Varina,27526,250377.66326530612,27526,6,119,47425.0,4218.0,76880.0,27526,8.894043226146547
Garner,27529,232556.25342465754,27529,12,120,48833.0,5650.0,60801.0,27529,11.570044846722505
Gaston,27832,148869.261682243,27832,5,121,3001.0,507.0,36089.0,27832,16.894368543818732
Gastonia,28052,121953.31868131868,28052,13,122,35302.0,9109.0,36243.0,28052,25.80307064755538
Gastonia,28054,169453.58974358975,28054,7,122,37335.0,5830.0,43422.0,28054,15.615374313646713
Gastonia,28056,237693.7912087912,28056,5,122,34401.0,4085.0,63563.0,28056,11.87465480654632
Gates,27937,125038.85245901639,27937,1,123,4546.0,629.0,56523.0,27937,13.836339639243294
Gatesville,27938,133714.34065934067,27938,3,124,1261.0,47.0,47273.0,27938,3.727200634417129
Germanton,27019,169170.17346938775,27019,1,125,4139.0,267.0,57075.0,27019,6.45083353467021
Gibson,28343,108832.86413043478,28343,1,126,1404.0,315.0,39531.0,28343,22.43589743589744
Gibsonville,27249,195785.09523809524,27249,3,127,12447.0,1961.0,54516.0,27249,15.754800353498835
Gold Hill,28071,206919.43295019158,28071,1,128,2649.0,412.0,43551.0,28071,15.553038882597209
Goldsboro,27530,169701.03741496598,27530,14,129,38865.0,9883.0,36283.0,27530,25.429049273124924
Goldsboro,27534,191197.10204081633,27534,8,129,32233.0,3971.0,48270.0,27534,12.31967238544349
Goldston,27252,216048.59615384616,27252,1,130,2509.0,492.0,51854.0,27252,19.609406137903548
Graham,27253,220756.28787878787,27253,11,131,30544.0,5421.0,44902.0,27253,17.748166579360927
Granite Falls,28630,200056.45419847328,28630,6,132,20007.0,3167.0,50190.0,28630,15.829459689108813
Greensboro,27301,176677.9693877551,27301,4,133,8826.0,734.0,62490.0,27301,8.316338092000906
Greensboro,27401,134183.6156462585,27401,11,133,22105.0,4033.0,35153.0,27401,18.24474100882153
Greensboro,27403,254135.80272108843,27403,4,133,22569.0,5026.0,45566.0,27403,22.269484691390844
Greensboro,27405,137483.48979591837,27405,12,133,48990.0,12116.0,36462.0,27405,24.731577873035317
Greensboro,27406,171960.30952380953,27406,17,133,63465.0,14973.0,41097.0,27406,23.592531316473647
Greensboro,27407,198833.28231292518,27407,7,133,50288.0,8412.0,48127.0,27407,16.727648743238944
Greensboro,27408,322231.0442176871,27408,7,133,18090.0,1797.0,63965.0,27408,9.933665008291873
Greensboro,27409,205239.18707482994,27409,3,133,17532.0,2237.0,41455.0,27409,12.7595254391969
Greensboro,27410,243265.59863945577,27410,12,133,55519.0,4518.0,65755.0,27410,8.137754642554803
Greensboro,27455,318731.84013605444,27455,6,133,29020.0,1968.0,73263.0,27455,6.781529979324604
Greenville,27834,192180.58375634518,27834,10,134,56458.0,15413.0,36360.0,27834,27.299939778242234
Greenville,27858,244387.34517766497,27858,9,134,59652.0,15047.0,44751.0,27858,25.224636223429226
Grifton,28530,125849.12313432836,28530,1,135,6457.0,1111.0,36357.0,28530,17.206132879045995
Grimesland,27837,250008.36040609138,27837,1,136,6463.0,1118.0,70453.0,27837,17.298468203620608
Grover,28073,117778.91496598639,28073,1,137,5366.0,836.0,39971.0,28073,15.579575102497206
Halifax,27839,91212.25510204081,27839,2,138,3503.0,406.0,31051.0,27839,11.590065658007422
Hamlet,28345,80117.09465020576,28345,5,139,12107.0,3188.0,34918.0,28345,26.331874122408518
Hampstead,28443,306785.6989247312,28443,5,140,22138.0,1933.0,64317.0,28443,8.731592736471226
Hamptonville,27020,152321.0218579235,27020,1,141,5717.0,990.0,39012.0,27020,17.316774532097252
Harkers Island,28531,386564.0170068027,28531,1,142,1361.0,181.0,51111.0,28531,13.299044819985307
Harmony,28634,172120.78879310345,28634,1,143,5230.0,1047.0,46447.0,28634,20.019120458891013
Harrisburg,28075,255863.2142857143,28075,4,144,18621.0,827.0,99075.0,28075,4.441222275925031
Havelock,28532,138939.06462585033,28532,9,145,22205.0,2741.0,50634.0,28532,12.344066651655032
Haw River,27258,232268.80303030304,27258,1,146,7011.0,862.0,47336.0,27258,12.294965054913707
Hays,28635,134015.3775510204,28635,2,147,3162.0,637.0,29599.0,28635,20.14547754585705
Henderson,27536,150635.26530612246,27536,7,148,16421.0,4882.0,29021.0,27536,29.730223494306074
Henderson,27537,141470.14285714287,27537,11,148,24578.0,4936.0,42363.0,27537,20.08300105785662
Hendersonville,28739,377868.3469387755,28739,1,149,21474.0,2160.0,53965.0,28739,10.05867560771165
Hendersonville,28791,313462.73979591834,28791,5,149,14954.0,1160.0,53964.0,28791,7.757121840310285
Hendersonville,28792,247475.16836734695,28792,9,149,34945.0,5441.0,45629.0,28792,15.570181714122192
Hertford,27944,273033.77966101695,27944,2,150,11969.0,1862.0,46240.0,27944,15.556855209290669
Hertford,27980,157369.90666666668,27980,1,150,1758.0,67.0,47946.0,27980,3.811149032992037
Hickory,28601,234926.52721088435,28601,12,151,51706.0,6977.0,50821.0,28601,13.493598421846595
Hickory,28602,177761.35714285713,28602,5,151,29105.0,4340.0,47493.0,28602,14.911527228998455
Hiddenite,28636,139978.94852941178,28636,2,152,5013.0,922.0,43810.0,28636,18.39218033113904
High Point,27235,285872.46598639456,27235,1,153,4557.0,147.0,89214.0,27235,3.2258064516129035
High Point,27260,110732.71768707484,27260,6,153,25761.0,8719.0,27361.0,27260,33.84573580218159
High Point,27262,216669.97959183675,27262,9,153,24379.0,5009.0,39276.0,27262,20.546371877435497
High Point,27265,210413.53401360544,27265,9,153,50139.0,4609.0,60518.0,27265,9.192445002891963
High Point,27282,221384.57823129251,27282,7,153,17835.0,1576.0,68967.0,27282,8.836557331090553
Hillsborough,27278,308965.2329749104,27278,12,154,26054.0,2705.0,71657.0,27278,10.382282950794504
Holden Beach,28462,476891.42307692306,28462,2,155,12659.0,1842.0,41243.0,28462,14.550912394343946
Hollister,27844,67557.4756097561,27844,2,156,2955.0,866.0,28170.0,27844,29.30626057529611
Holly Springs,27540,290390.3163265306,27540,7,157,37520.0,1668.0,102268.0,27540,4.445628997867804
Hope Mills,28348,178483.3605442177,28348,10,158,35673.0,4681.0,53090.0,28348,13.121968996159561
Hot Springs,28743,213403.7650273224,28743,1,159,1987.0,580.0,38018.0,28743,29.1897332662305
Hubert,28539,193086.85483870967,28539,1,160,15623.0,2282.0,52782.0,28539,14.606669653715675
Hudson,28638,142383.2786259542,28638,6,161,11698.0,2024.0,41701.0,28638,17.30210292357668
Huntersville,28078,269493.1768707483,28078,12,162,60107.0,2987.0,95874.0,28078,4.9694711098540925
Hurdle Mills,27541,257932.6326530612,27541,1,163,3718.0,548.0,64038.0,27541,14.739107046799354
Indian Trail,28079,227330.26296296297,28079,7,164,36737.0,2317.0,78407.0,28079,6.306992949887034
Iron Station,28080,321240.5189873418,28080,2,165,7941.0,1505.0,53811.0,28080,18.95227301347437
Ivanhoe,28478,150179.66129032258,28478,1,166,5114.0,728.0,39906.0,28478,14.235432147047325
Jackson,27845,87274.71333333333,27845,1,167,2876.0,598.0,33750.0,27845,20.79276773296245
Jacksonville,28540,170498.56140350876,28540,13,168,48775.0,7251.0,49970.0,28540,14.86622245002563
Jacksonville,28546,169921.26315789475,28546,10,168,46338.0,5525.0,46758.0,28546,11.923259527817345
Jarvisburg,27947,185168.25850340136,27947,1,169,1431.0,60.0,50417.0,27947,4.19287211740042
Jonesville,28642,99159.30645161291,28642,1,170,5890.0,1305.0,38750.0,28642,22.15619694397284
Kannapolis,28081,199030.75170068027,28081,5,171,27557.0,5044.0,49743.0,28081,18.303879232137025
Kannapolis,28083,150909.53401360544,28083,5,171,25540.0,3610.0,48103.0,28083,14.13469068128426
Kenly,27542,163878.67039106146,27542,2,172,9953.0,1896.0,46332.0,27542,19.049532804179645
Kernersville,27284,214704.80952380953,27284,14,173,54413.0,6184.0,61071.0,27284,11.3649311745355
Kill Devil Hills,27948,323427.4379310345,27948,3,174,11118.0,1110.0,57445.0,27948,9.983810037776578
King,27021,175035.04421768707,27021,6,175,17539.0,2407.0,50123.0,27021,13.723701465305892
Kings Mountain,28086,155483.72448979592,28086,7,176,25037.0,4397.0,42571.0,28086,17.562008227822822
Kinston,28501,95200.93513513514,28501,6,177,18334.0,5857.0,30053.0,28501,31.94611105050725
Kinston,28504,156512.78504672897,28504,6,177,21852.0,3816.0,47856.0,28504,17.462932454695224
Kittrell,27544,187918.97282608695,27544,1,178,5027.0,890.0,56382.0,27544,17.70439626019495
Kitty Hawk,27949,375940.24742268043,27949,1,179,7532.0,331.0,78191.0,27949,4.394583112055232
Knightdale,27545,210356.9319727891,27545,5,180,27186.0,1815.0,63683.0,27545,6.676230412712425
Knotts Island,27950,231834.6768707483,27950,1,181,2073.0,252.0,58821.0,27950,12.156295224312592
La Grange,28551,152806.6495327103,28551,3,182,15104.0,2366.0,37293.0,28551,15.664724576271185
Lake Lure,28746,389705.27843137254,28746,1,183,2371.0,140.0,60400.0,28746,5.904681568958246
Lake Lure,28756,321315.7840909091,28756,3,183,4715.0,264.0,49452.0,28756,5.59915164369035
Lake Toxaway,28747,725807.7988826815,28747,1,184,2243.0,397.0,36653.0,28747,17.699509585376727
Landis,28088,175258.37647058823,28088,2,185,2746.0,373.0,53949.0,28088,13.583394027676619
Laurel Hill,28351,98439.20408163265,28351,2,186,4698.0,873.0,36949.0,28351,18.5823754789272
Laurinburg,28352,137024.05782312926,28352,10,187,25760.0,6870.0,33657.0,28352,26.66925465838509
Lawsonville,27022,170241.226519337,27022,2,188,1099.0,50.0,41078.0,27022,4.549590536851684
Leicester,28748,266059.66171003715,28748,1,189,12613.0,1974.0,46075.0,28748,15.650519305478475
Leland,28451,311994.6298076923,28451,5,190,33435.0,4738.0,55357.0,28451,14.170779123672798
Lenoir,28645,173522.99236641222,28645,13,191,46604.0,8246.0,38697.0,28645,17.69376019225818
Lewisville,27023,302547.97959183675,27023,1,192,13088.0,911.0,75208.0,27023,6.96057457212714
Lexington,27292,178763.17006802722,27292,16,193,39649.0,7520.0,41315.0,27292,18.966430426996894
Lexington,27295,193566.60544217686,27295,11,193,38511.0,5256.0,49195.0,27295,13.648048609488196
Liberty,27298,196359.73180076628,27298,3,194,10052.0,1586.0,45095.0,27298,15.777954635893355
Lillington,27546,210043.99462365592,27546,5,195,21313.0,3777.0,48737.0,27546,17.72157837939286
Lincolnton,28092,189093.7380952381,28092,15,196,39710.0,7532.0,47971.0,28092,18.96751447997985
Linden,28356,201309.05102040817,28356,1,197,4890.0,392.0,67609.0,28356,8.016359918200411
Littleton,27850,352248.99319727893,27850,2,198,7244.0,987.0,42176.0,27850,13.625069022639424
Locust,28097,196644.9387755102,28097,2,199,6074.0,628.0,57782.0,28097,10.339150477444845
Louisburg,27549,196287.27027027027,27549,8,200,25645.0,4465.0,47667.0,27549,17.410801325794502
Lowell,28098,160158.315018315,28098,2,201,3629.0,747.0,51206.0,28098,20.584182970515293
Lowgap,27024,169974.90760869565,27024,1,202,3148.0,557.0,41161.0,27024,17.69377382465057
Lucama,27851,157024.82065217392,27851,2,203,5356.0,892.0,48547.0,27851,16.654219566840926
Lumber Bridge,28357,111670.17142857143,28357,2,204,2682.0,738.0,32060.0,28357,27.51677852348993
